geographic_area,oc1,oc2,working_time,sex,year,value,flag,comment,timestamp
India,Aquaculture,Aquaculture,Status Unspecified,M,2010,1533914,,,
India,Aquaculture,Aquaculture,Full time,F,2011,84150,,,
India,Aquaculture,Aquaculture,Full time,M,2011,273245,,,
India,Aquaculture,Aquaculture,Occasional,F,2011,29957,,,
India,Aquaculture,Aquaculture,Occasional,M,2011,629501,,,
India,Aquaculture,Aquaculture,Part time,F,2011,61343,,,
India,Aquaculture,Aquaculture,Part time,M,2011,220913,,,
India,Aquaculture,Aquaculture,Status Unspecified,F,2011,1481786,,,
India,Aquaculture,Aquaculture,Status Unspecified,M,2011,1566551,,,
India,Aquaculture,Aquaculture,Full time,F,2012,84453,,,
India,Aquaculture,Aquaculture,Full time,M,2012,274640,,,
India,Aquaculture,Aquaculture,Occasional,F,2012,30322,,,
India,Aquaculture,Aquaculture,Occasional,M,2012,630815,,,
India,Aquaculture,Aquaculture,Part time,F,2012,61720,,,
India,Aquaculture,Aquaculture,Part time,M,2012,222383,,,
India,Aquaculture,Aquaculture,Status Unspecified,F,2012,1518996,,,
India,Aquaculture,Aquaculture,Status Unspecified,M,2012,1605705,,,
India,Aquaculture,Aquaculture,Full time,F,2013,82059,,,
India,Aquaculture,Aquaculture,Full time,M,2013,235951,,,
India,Aquaculture,Aquaculture,Occasional,F,2013,28766,,,
India,Aquaculture,Aquaculture,Occasional,M,2013,628136,,,
India,Aquaculture,Aquaculture,Part time,F,2013,57483,,,
India,Aquaculture,Aquaculture,Part time,M,2013,202071,,,
India,Aquaculture,Aquaculture,Status Unspecified,F,2013,1482095,,,
India,Aquaculture,Aquaculture,Status Unspecified,M,2013,1567075,,,
India,Aquaculture,Aquaculture,Full time,F,2014,85398,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,M,2014,245552,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,F,2014,29937,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,M,2014,653696,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,F,2014,59822,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,M,2014,210294,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,F,2014,1542404,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,M,2014,1630842,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,F,2015,88873,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,M,2015,255544,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,F,2015,31155,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,M,2015,680296,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,F,2015,62256,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,M,2015,218851,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,F,2015,1605166,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,M,2015,1697203,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,F,2016,92489,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,M,2016,265943,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,F,2016,32422,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,M,2016,707978,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,F,2016,64790,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,M,2016,227756,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,F,2016,1670483,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,M,2016,1766265,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,F,2017,96253,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,M,2017,276764,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,F,2017,33742,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,M,2017,736787,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,F,2017,67426,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,M,2017,237024,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,F,2017,1738457,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,M,2017,1838137,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,F,2018,100170,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Full time,M,2018,288026,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,F,2018,35115,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Occasional,M,2018,766767,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,F,2018,70170,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Part time,M,2018,246669,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,F,2018,1809198,E,Historical growth estimate,2021-04-20 14:54:14
India,Aquaculture,Aquaculture,Status Unspecified,M,2018,1912933,E,Historical growth estimate,2021-04-20 14:54:14
