Country_en	iso3	development
Sudan	SDN	Developing
Western Sahara	ESH	Developing
Sudan (former)		Developing
Suriname	SUR	Developing
Svalbard and Jan Mayen	SJM	Developed
Eswatini	SWZ	Developing
Sweden	SWE	Developed
Switzerland	CHE	Developed
Syrian Arab Republic	SYR	Developing
Tajikistan	TJK	Developing
Thailand	THA	Developing
Togo	TGO	Developing
Tonga	TON	Developing
Tuvalu	TUV	Developing
Trinidad and Tobago	TTO	Developing
United Arab Emirates	ARE	Developing
Tunisia	TUN	Developing
Turkey	TUR	Developing
Turkmenistan	TKM	Developing
Turks and Caicos Is.	TCA	Developing
US Minor Outlying Is.	UMI	Developing
Uganda	UGA	Developing
Ukraine	UKR	Developed
North Macedonia	MKD	Developed
Un. Sov. Soc. Rep.	SUN	Developed
Egypt	EGY	Developing
United Kingdom	GBR	Developed
Channel Islands		Developed
Guernsey	GGY	Developed
Jersey	JEY	Developed
Isle of Man	IMN	Developed
"Tanzania, United Rep. of"	TZA	Developing
Zanzibar		Developing
United States of America	USA	Developed
US Virgin Islands	VIR	Developing
Burkina Faso	BFA	Developing
Uruguay	URY	Developing
Uzbekistan	UZB	Developing
"Venezuela, Boliv Rep of"	VEN	Developing
Vanuatu	VUT	Developing
Wallis and Futuna Is.	WLF	Developing
Yemen	YEM	Developing
Yugoslavia SFR	YUG	Developed
Serbia and Montenegro	SCG	Developed
Zambia	ZMB	Developing
Other nei		FALSE
